EXP NUM,Residence Time,Temperature,dielectric constant,ET(30),alpha,beta,pi*,SA,SB,SP,SdP,N,n,f(n),delta
5,12.929456209189992,225.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
5,15.00083853511569,225.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
5,15.007090287281244,225.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
5,15.011933436062463,225.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
5,15.01720841288261,225.0,16.7,62.1,1.96,0.0,0.65,1.011,0.014,0.499,1.454,0.0095,1.275,0.17256,19.3
6,2.167118129773371,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,3.967982359097278,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,5.200748703066438,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,7.001612932339185,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,8.234416734063643,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,10.035391810168903,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,11.268191655966575,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,13.069042920403716,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,14.301758012032906,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,15.00055474466535,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,15.004385703741718,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,15.006829806134192,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,15.009936153364832,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,15.011744898492909,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
6,15.01720841288261,175.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,2.001019108286073,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,2.022659531064619,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,3.8235237603885257,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,5.056290104306527,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,6.857154333630433,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,8.089946059152453,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,9.890927031290175,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,11.123730913129748,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,12.924588073036604,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,14.157307200861167,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,15.00084849230916,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,15.004685464828071,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,15.007099311742422,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,15.010161461623284,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,15.011939951682509,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
7,15.01720841288261,225.0,7.58,36.5,0.0,0.45,0.54,0.0,0.584,0.7,0.768,0.00987,1.406,0.24563,17.68
8,2.001019108286073,175.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
8,3.969094690290831,175.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
8,7.002725263532739,175.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
8,10.036504187098672,175.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
8,13.070155220952984,175.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
8,15.000552496530872,175.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
8,15.00682771720676,175.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
8,15.01174338295641,175.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
8,15.01720841288261,175.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
9,15.00159607949172,225.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
9,15.00775557178713,225.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
9,15.012410652843757,225.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
9,15.015502226970057,225.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
9,15.017030293347489,225.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
9,15.01720841288261,225.0,2.02,30.9,0.0,0.0,0.0,0.0,0.073,0.683,0.0,0.00927,1.426,0.25622,16.8
10,15.006082268882892,175.0,17.9,48.4,0.76,0.84,0.48,0.283,0.83,0.633,0.808,0.01298,1.377,0.23,23.7
10,15.011198957063243,175.0,17.9,48.4,0.76,0.84,0.48,0.283,0.83,0.633,0.808,0.01298,1.377,0.23,23.7
11,15.000787188182583,225.0,17.9,48.4,0.76,0.84,0.48,0.283,0.83,0.633,0.808,0.01298,1.377,0.23,23.7
11,15.007043627338136,225.0,17.9,48.4,0.76,0.84,0.48,0.283,0.83,0.633,0.808,0.01298,1.377,0.23,23.7
11,15.011899730825462,225.0,17.9,48.4,0.76,0.84,0.48,0.283,0.83,0.633,0.808,0.01298,1.377,0.23,23.7
12,2.001019108286073,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,2.170527352706131,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,3.97420852471555,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,5.189712066118091,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,7.007839097957458,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,8.237826236427281,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,10.041618231531402,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,11.2571548720382,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,13.07526891366706,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,14.30516704572824,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,15.000542164034414,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,15.00437858649093,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,15.006818110759925,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,15.009930793121384,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,15.011736412225218,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
12,15.01720841288261,175.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,2.001019108286073,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,2.011622894116272,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,3.829749925955639,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,5.04525346735818,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,6.848934639367599,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,8.078908481337521,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,9.897153473013988,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,11.127140192132856,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,12.930814086814737,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,14.160716245402227,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,15.000835758610265,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,15.004678431068896,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,15.00708776902684,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,15.010178529109908,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,15.011931617868868,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
13,15.01720841288261,225.0,37.5,45.6,0.19,0.4,0.75,0.044,0.286,0.645,0.974,0.019,1.344,0.21184,24.2
14,2.16224987503324,175.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
14,5.195880448275148,175.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
14,8.229548079975757,175.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
14,11.263323336919484,175.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
14,14.296890027668496,175.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
14,15.004395863525133,175.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
14,15.00994380389784,175.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
14,15.01720841288261,175.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
15,2.0177912762733285,225.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
15,5.051421849515236,225.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
15,8.085077389154094,225.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
15,11.11886257781407,225.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
15,14.152439200228171,225.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
15,15.00469550469461,225.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
15,15.010168992648689,225.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
15,15.01720841288261,225.0,4.33,34.5,0.0,0.47,0.27,0.0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
16,2.001019108286073,175.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
16,3.9339190215002873,175.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
16,6.967549594742195,175.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
16,10.001327057869958,175.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
16,13.04942597996046,175.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
16,15.000594426919632,175.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
16,15.006893674967614,175.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
16,15.011791211372838,175.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
16,15.01720841288261,175.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
17,2.001019108286073,225.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
17,3.789460422791535,225.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
17,6.823090996033443,225.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
17,9.871308677833213,225.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
17,12.890525551273411,225.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
17,15.00088865750513,225.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
17,15.00713563714271,225.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
17,15.011966166412094,225.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
17,15.01720841288261,225.0,8.55,59.8,1.51,0.0,0.73,0.893,0.107,0.543,0.922,0.01389,1.3,0.18699,23.9
18,2.001019108286073,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,3.7508321934979,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,3.974396320887763,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,6.784462766739807,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,7.008026894129671,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,9.818093339981717,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,10.041806035326315,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,12.851723913223625,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,13.075456704569888,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,15.0005417846387,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,15.006817757966928,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,15.01173615602056,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
18,15.01720841288261,175.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
19,2.001019108286073,225.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
19,5.022067862267932,225.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
19,8.055720948931366,225.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
19,11.089508093812128,225.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
19,14.12308673424718,225.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
19,15.004755958352687,225.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
19,15.010214317544524,225.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
19,15.01720841288261,225.0,37.8,42.9,0.0,0.76,0.88,0.028,0.65,0.763,0.987,0.01079,1.438,0.26251,22.6
20,2.168663836823725,175.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
20,5.202294410065633,175.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
20,8.235962567732713,175.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
20,11.26973738348056,175.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
20,15.01720841288261,175.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
21,2.001019108286073,225.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
21,3.216335378203894,225.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
21,6.249965951445802,225.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
21,9.283707500441096,225.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
21,12.317410287431583,225.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
21,15.00212207010918,225.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
21,15.008193329367714,225.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
21,15.012721029643217,225.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
21,15.01720841288261,225.0,12.5,47.7,0.7,0.82,0.45,0.259,0.912,0.722,0.383,0.00524,1.437,0.26199,19.9
22,2.001019108286073,175.0,24.5,51.9,0.86,0.75,0.54,0.4,0.658,0.633,0.783,0.01715,1.359,0.22015,26.0
